bowler,Innings,Overs,Wickets,Economy,Average
A Badoni,2,2.0,2,6.0,6.0
A Nortje,6,23.5,9,9.19,24.33
AD Russell,13,29.2,21,9.61,13.43
AF Milne,1,2.3,0,7.6,inf
AJ Tye,3,11.3,3,9.83,37.67
AK Markram,4,6.0,1,10.67,64.0
AR Patel,13,43.3,6,7.43,53.83
AS Joseph,8,28.5,8,8.39,30.25
AS Roy,2,7.0,1,7.86,55.0
Abdul Samad,1,1.0,0,8.0,inf
Abhishek Sharma,3,4.0,0,9.75,inf
Akash Deep,5,19.5,6,10.39,34.33
Aman Hakim Khan,1,1.0,0,13.0,inf
Arshdeep Singh,14,52.5,12,7.61,33.5
Avesh Khan,12,45.4,18,8.3,21.06
B Kumar,14,55.0,13,7.16,30.31
Basil Thampi,5,17.0,5,9.29,31.6
C Sakariya,3,11.5,3,7.35,29.0
CJ Jordan,4,13.2,3,10.2,45.33
CV Varun,11,40.5,6,8.28,56.33
D Brevis,1,0.3,1,16.0,8.0
D Pretorius,6,23.0,7,9.26,30.43
DG Nalkande,2,5.3,2,10.73,29.5
DJ Bravo,10,38.1,17,7.94,17.82
DJ Hooda,2,4.0,1,10.75,43.0
DJ Mitchell,2,2.1,0,12.46,inf
DJ Willey,4,11.0,1,6.82,75.0
DR Sams,11,45.4,14,8.21,26.79
FA Allen,1,4.0,1,11.5,46.0
Fazalhaq Farooqi,3,12.4,2,8.68,55.0
GJ Maxwell,9,21.2,8,6.98,18.62
HH Pandya,8,25.2,4,7.66,48.5
HR Shokeen,5,15.4,2,8.3,65.0
HV Patel,13,48.4,20,7.52,18.3
Harpreet Brar,5,16.4,4,8.88,37.0
Harshit Rana,2,5.1,1,10.06,52.0
J Suchith,5,19.1,7,7.36,20.14
JD Unadkat,5,20.3,7,9.32,27.29
JDS Neesham,1,3.0,0,9.67,inf
JJ Bumrah,14,54.3,16,7.19,24.5
JO Holder,12,44.2,16,9.0,24.94
JR Hazlewood,10,39.4,16,7.89,19.56
K Gowtham,4,12.0,5,8.42,20.2
K Kartikeya,4,13.0,5,7.92,20.6
K Rabada,13,50.3,23,8.2,18.0
KA Pollard,6,14.3,4,8.97,32.5
