batter,Innings,Batsman Runs,Average,Strike Rate,Impact Score,Not Outs,Dot ball (%),Total Fours,Total Sixes
A Badoni,11,161,20.12,123.85,107.59,6.0,36.92,11,7
A Manohar,7,108,18.0,144.0,91.8,8.0,34.67,14,3
A Nortje,1,1,,16.67,,,83.33,0,0
A Tomar,1,4,4.0,50.0,17.8,13.0,87.5,1,0
AD Russell,12,335,37.22,174.48,197.51,5.0,43.75,18,32
AJ Finch,5,86,17.2,140.98,81.85,9.0,42.62,10,3
AK Markram,12,381,47.62,139.05,208.4,6.0,28.83,25,19
AM Rahane,7,133,19.0,103.91,90.07,7.0,48.44,14,4
AR Patel,10,182,45.5,151.67,131.95,10.0,31.67,12,10
AS Joseph,3,5,5.0,71.43,24.93,13.0,28.57,0,0
AS Roy,1,0,0.0,0.0,0.0,13.0,100.0,0,0
AT Rayudu,11,274,24.91,122.32,153.77,3.0,45.98,25,15
Abdul Samad,2,4,2.0,57.14,19.34,12.0,42.86,0,0
Abhishek Sharma,14,426,30.43,133.12,219.46,0.0,39.38,47,13
Akash Deep,1,0,0.0,0.0,0.0,13.0,100.0,0,0
Aman Hakim Khan,1,5,5.0,166.67,53.5,13.0,33.33,1,0
Anmolpreet Singh,2,13,6.5,100.0,37.15,12.0,38.46,1,0
Anuj Rawat,8,129,16.12,109.32,89.23,6.0,50.85,10,7
Arshdeep Singh,6,21,7.0,72.41,32.22,11.0,68.97,3,0
Avesh Khan,4,22,22.0,169.23,66.17,13.0,46.15,0,3
B Indrajith,3,21,7.0,70.0,31.5,11.0,56.67,2,0
B Kumar,6,24,8.0,92.31,39.69,11.0,42.31,3,0
B Sai Sudharsan,5,145,36.25,127.19,107.03,10.0,30.7,14,3
CJ Jordan,2,11,11.0,137.5,48.95,13.0,25.0,0,0
CV Varun,3,12,,66.67,,,66.67,2,0
D Brevis,7,161,23.0,142.48,114.04,7.0,46.02,14,11
D Padikkal,14,337,24.07,127.65,180.32,0.0,43.94,39,12
D Pretorius,5,44,11.0,157.14,68.04,10.0,35.71,3,3
DA Miller,14,381,54.43,136.07,209.55,7.0,29.64,26,17
DA Warner,12,432,48.0,150.52,232.36,5.0,35.89,52,15
DJ Bravo,6,23,11.5,95.83,41.4,12.0,37.5,1,1
DJ Hooda,13,406,31.23,133.55,211.83,1.0,32.24,35,14
DJ Mitchell,2,33,16.5,75.0,40.65,12.0,36.36,1,0
DJ Willey,2,18,9.0,60.0,27.9,12.0,73.33,3,0
DP Conway,7,252,42.0,145.66,157.1,8.0,33.53,23,12
DR Sams,10,38,5.43,105.56,48.5,7.0,50.0,1,3
